Beseda;Pomen_ID;Razlaga;Originalni_Zgled;Poved
a;1;izraža ugodje, domislek:;sem te, a, sem te opeharil! a ja, že vem! a(aa), to se prileže!;Ko sem jo prvič srečal, a, srce mi je zakipelo od navdušenja.
a;1;izraža ugodje, domislek:;sem te, a, sem te opeharil! a ja, že vem! a(aa), to se prileže!;Ob sončnem zahodu, a, se mi je v glavi zasvetilo novo pesniško navdih.
a;1;izraža ugodje, domislek:;sem te, a, sem te opeharil! a ja, že vem! a(aa), to se prileže!;Petra je po koncu koncerta zaklicala a, kakšno čudovito izkušnjo je doživela!
a;1;izraža ugodje, domislek:;sem te, a, sem te opeharil! a ja, že vem! a(aa), to se prileže!;Ko sem včeraj prebral tvoj roman, a, občutek radosti me je spremljal do zadnje strani.
a;1;izraža ugodje, domislek:;sem te, a, sem te opeharil! a ja, že vem! a(aa), to se prileže!;Na pikniku, a, smeh otrok je napolnil zrak in me spomnil, kako lepo je biti živ.
a;2;"izraža veliko mero povedanega; àli, to:";a bo gledal!;A bo gledal to predstavo, ki jo je napovedal cel svet.
a;2;"izraža veliko mero povedanega; àli, to:";a bo gledal!;A bo prišla na sestanek, četudi je bila zelo utrujena.
a;2;"izraža veliko mero povedanega; àli, to:";a bo gledal!;A bom jaz sam napisal to pesem, čeprav se mi zdi težko.
a;2;"izraža veliko mero povedanega; àli, to:";a bo gledal!;A bomo mi skupaj premagali vse ovire, ki nas čakajo.
a;2;"izraža veliko mero povedanega; àli, to:";a bo gledal!;A bodo otroci uživali v novem igrišču, ki je pravkar odprto.
a;3;izraža vprašanje:;si razumel, a? nimaš jezika, a?;Razumel si, a?
a;3;izraža vprašanje:;si razumel, a? nimaš jezika, a?;Ali sem ti pojasnil, a?
a;3;izraža vprašanje:;si razumel, a? nimaš jezika, a?;Nisi se še odločil, a?
a;3;izraža vprašanje:;si razumel, a? nimaš jezika, a?;Ste že prebrali ta del, a?
a;3;izraža vprašanje:;si razumel, a? nimaš jezika, a?;On ne razume, a?
a;3;izraža vprašanje:;A? je spet vprašal;A? Je spet vprašal učitelj, kaj se je zgodilo?
a;3;izraža vprašanje:;A? je spet vprašal;A? Je spet vprašal moj brat, kdaj greš domov?
a;3;izraža vprašanje:;A? je spet vprašal;A? Je spet vprašala sestra, ali želiš kavo?
a;3;izraža vprašanje:;A? je spet vprašal;A? So spet vprašali prišleci, kje je najbližja postaja?
a;3;izraža vprašanje:;A? je spet vprašal;A? Je spet vprašal starec, zakaj se temni oblaki zbirajo?
a;4;izraža začudenje, zavrnitev:;a, ti si! a, beži, beži! a, kaj še!;Ko sem ga prvič zagledal, sem zakričal: a, ti si! A, beži, beži! A, kaj še?
a;4;izraža začudenje, zavrnitev:;a, ti si! a, beži, beži! a, kaj še!;Mati je vzkliknila, ko je opazila neurejenost: a, ti si! A, beži, beži! A, kaj še?
a;4;izraža začudenje, zavrnitev:;a, ti si! a, beži, beži! a, kaj še!;Po dolgem razmisleku je učitelj dejal: a, ti si! A, beži, beži! A, kaj še?
a;4;izraža začudenje, zavrnitev:;a, ti si! a, beži, beži! a, kaj še!;V temni ulici sem zaslišal šepet: a, ti si! A, beži, beži! A, kaj še?
a;4;izraža začudenje, zavrnitev:;a, ti si! a, beži, beži! a, kaj še!;Ko sem prebral sporočilo, sem se nasmehnil in pomislil: a, ti si! A, beži, beži! A, kaj še?
a;5;prva črka slovenske abecede:;beseda se konča na a;Prva črka slovenske abecede je a, ki se konča na a.
a;5;prva črka slovenske abecede:;beseda se konča na a;Učiteljica je učencem povedala, da se beseda konča na a, če gre za ženski spol.
a;5;prva črka slovenske abecede:;beseda se konča na a;Prva črka slovenske abecede, a se uporablja na začetku številnih besed.
a;5;prva črka slovenske abecede:;beseda se konča na a;Prva črka slovenske abecede, a, se konča na a.
a;5;prva črka slovenske abecede:;beseda se konča na a;V poeziji je pogosto, da se beseda konča na a, kar daje melodijo.
a;5;prva črka slovenske abecede:;mali a;Na tablo je učitelj narisal mali, a, da bi ponazoril izgovarjavo.
a;5;prva črka slovenske abecede:;mali a;Mali, a v tem logotipu spominja na kapljico vode.
a;5;prva črka slovenske abecede:;mali a;Ko sem pisal ročno, sem uporabil mali, a, da bo besedilo bolj jasno.
a;5;prva črka slovenske abecede:;mali a;Otroci so se zabavali, ko so iskali mali, a med velikimi črkami.
a;5;prva črka slovenske abecede:;mali a;V tipkovnici sem pomotoma pritisnil mali, a namesto velikega A.
a;5;prva črka slovenske abecede:;veliki A;Na naslovnici je izstopal veliki A, ki je pritegnil pozornost bralcev.
a;5;prva črka slovenske abecede:;veliki A;V učbeniku je pri tem razdelku uporabljen veliki A kot simbol.
a;5;prva črka slovenske abecede:;veliki A;Ko sem vpisal svoj podpis, sem uporabil veliki A, da bo bolj eleganten.
a;5;prva črka slovenske abecede:;veliki A;Veliki A v logotipu podjetja predstavlja začetnico imena.
a;5;prva črka slovenske abecede:;veliki A;V igri sem izbral lik z velikim A, ker sem ga rad imel že od otroštva.
a;5;prva črka slovenske abecede:;nečitljivi aji;Nečitljivi Aji, ki sta se pojavili v starodavnem rokopisu, sta razkrili, da je prva črka slovenske abecede pogosto spregledana v sodobnih besedilih.
a;5;prva črka slovenske abecede:;nečitljivi aji;Nečitljivi Aji, ki se pojavljata v starodavnih rokopisih, pogosto zmedo bralce, ker ne poznajo pravilne uporabe prve črke slovenske abecede.
a;5;prva črka slovenske abecede:;nečitljivi aji;Nečitljivi Aji, ki sta se pojavili v starodavnem rokopisu, sta bili prvič zapisani kot nejasni in neprepoznavni simboli prve črke slovenske abecede.
a;5;prva črka slovenske abecede:;nečitljivi aji;Nečitljivi Aji, ki sta se pojavili v starodavnem rokopisu, sta bili prvič zapisani kot črka a, začetnica slovenske abecede.
a;5;prva črka slovenske abecede:;nečitljivi aji;Nečitljivi Aji, ki jih je napisal neveden učenjak, so bili zgolj nerazumljivi primeri uporabe prve črke slovenske abecede.
a;5;prva črka slovenske abecede:;A je dal B polovico zneska;A je dal B polovico zneska, ker je B potreboval pomoč.
a;5;prva črka slovenske abecede:;A je dal B polovico zneska;Ko je A prejel darilo, je A dal B polovico zneska kot zahvalo.
a;5;prva črka slovenske abecede:;A je dal B polovico zneska;Po pogovoru je A dal B polovico zneska za skupni projekt.
a;5;prva črka slovenske abecede:;A je dal B polovico zneska;V pogodbi je zapisano, da A je dal B polovico zneska za najem prostora.
a;5;prva črka slovenske abecede:;A je dal B polovico zneska;Zaradi nepredvidenih stroškov je A dal B polovico zneska, da bi pomagal.
a;5;prva črka slovenske abecede:;A bomba;A bomba je eksplodirala nad mestom in povzročila veliko paniko.
a;5;prva črka slovenske abecede:;A bomba;Na koncertu je glasbenik izdal skladbo z naslovom A bomba, ki je razburkala občinstvo.
a;5;prva črka slovenske abecede:;A bomba;V igri sem našel skrivni predmet, označen kot A bomba, ki ga je treba dezaktivirati.
a;5;prva črka slovenske abecede:;A bomba;Policija je odkrila A bomba v skladišču in jo varno raznesla.
a;5;prva črka slovenske abecede:;A bomba;V pogovoru so jo opisali kot pravo A bomba, ker je izdelek izjemno učinkovit.
a;6;prvi po vrsti:;odstavek A;V novem članku je odstavek A prvi po vrsti in takoj pritegne bralčevo pozornost.
a;6;prvi po vrsti:;odstavek A;Učiteljica je učencem razložila, da je odstavek A prvi v zaporedju in vsebuje ključne definicije.
a;6;prvi po vrsti:;odstavek A;Ko sem bral roman, sem opazil, da je odstavek A prvi, kjer avtor predstavi glavno ozadje.
a;6;prvi po vrsti:;odstavek A;V diplomski nalogi sem začel z odstavkom A, ki je prvi po vrstnem redu in postavlja raziskovalno vprašanje.
a;6;prvi po vrsti:;odstavek A;Pri urejanju besedila sem premaknil odstavek A na začetek, saj mora biti prvi po vrsti.
a;6;prvi po vrsti:;razdalja od točke A do B;Pri načrtovanju poti sem izračunal, da je razdalja od točke A do B prva po vrstnem redu, ki ga moramo premostiti.
a;6;prvi po vrsti:;razdalja od točke A do B;Geodet je izmeril razdaljo od točke A do B, kar je bila prva meritve na terenu.
a;6;prvi po vrsti:;razdalja od točke A do B;V poskusu smo najprej določili razdaljo od točke A do B, saj je bila prva ključna spremenljivka.
a;6;prvi po vrsti:;razdalja od točke A do B;Ko sem potoval po planini, sem opazil, da je razdalja od točke A do B prva na seznamu izzivov.
a;6;prvi po vrsti:;razdalja od točke A do B;Na zemljevidu je označena razdalja od točke A do B kot prva, ki jo moramo upoštevati pri izračunu časa.
a;6;prvi po vrsti:;v prvem členu pod točko a;V prvem členu pod točko, a je navedeno, da je to prvi pogoj, ki ga je treba izpolniti.
a;6;prvi po vrsti:;v prvem členu pod točko a;Zakonodaja določa, da je v prvem členu pod točko, a prvi del, ki se nanaša na pravice vlagateljev.
a;6;prvi po vrsti:;v prvem členu pod točko a;Pri pisanju priročnika sem v prvem členu pod točko, a izpostavil prvi korak v postopku.
a;6;prvi po vrsti:;v prvem členu pod točko a;Sodišče je v svojem sklepu poudarilo, da je v prvem členu pod točko, a prvi argument, ki podpira odločitev.
a;6;prvi po vrsti:;v prvem členu pod točko a;Učitelj je v učnem načrtu zapisala, da je v prvem členu pod točko, a prvi primer, ki ga učenci naj analizirajo.
a;6;prvi po vrsti:;1. a razred;V šoli sem se vpisal v 1., a razred, ki je prvi po vrsti med osnovnimi razredi.
a;6;prvi po vrsti:;1. a razred;Moja sestra je letos v 1., a razred, prvi razred, kjer se učenci učijo latinice.
a;6;prvi po vrsti:;1. a razred;Ko sem obiskal otvoritev šole, so predstavili 1., a razred kot prvi razred v novem učnem letu.
a;6;prvi po vrsti:;1. a razred;Učiteljica je v 1., a razred vpisala učence, ki so bili prvi po vrsti pri vpisu.
a;6;prvi po vrsti:;1. a razred;Na športnem tekmovanju je 1., a razred osvojil prvo mesto, saj so bili prvi po vrsti med vsemi razredi.
a;6;prvi po vrsti:;hotel A kategorije;Pri rezervaciji sem izbral hotel A kategorije, ki je prvi po vrsti med luksuznimi nastanitvami v mestu.
a;6;prvi po vrsti:;hotel A kategorije;Naše potovanje je vključevalo bivanje v hotelu A kategorije, prvi hotel po vrsti, ki ponuja psa storitve.
a;6;prvi po vrsti:;hotel A kategorije;Turistični vodnik je priporočal hotel A kategorije kot prvi po vrsti za poslovne popotnike.
a;6;prvi po vrsti:;hotel A kategorije;Ko smo iskali nastanitev, smo našli hotel A kategorije, ki je bil prvi na seznamu in je izpolnjeval vse naše zahteve.
a;6;prvi po vrsti:;hotel A kategorije;V reviji sta ocenili hotel A kategoriji kot prvi po vrsti med hoteli z zeleno certifikacijo.
